商户ID,商户代码,终端号,商户名,省份,市,区,纬度,经度,用户地址,商圈信息
677724,102701056910021,01080209,,贵州省,贵阳市,南明区,26.580595000000002,106.713026,贵州省贵阳市南明区瑞金南路32-3,待定
677725,QRC480252076402,00083321,,贵州省,贵阳市,南明区,26.552442,106.66988700000002,贵州省贵阳市南明区,待定
677726,QRC482200007288,01080209,,贵州省,贵阳市,南明区,26.57437800000001,106.68991799999999,贵州省贵阳市南明区松山南路,待定
677727,QRC482200003082,01080209,,贵州省,贵阳市,南明区,26.558031,106.66288600000001,贵州省贵阳市南明区,待定
677728,QRC480252078075,00065188,,贵州省,贵阳市,南明区,26.580834999999997,106.731637,贵州省贵阳市南明区都司高架桥路,待定
677729,QRC482200001792,01080209,,贵州省,贵阳市,南明区,26.576981,106.73181100000001,贵州省贵阳市南明区观水路36号,待定
677730,102701056210042,01080209,,贵州省,贵阳市,南明区,26.579621000000003,106.71256499999998,贵州省贵阳市南明区都司路142,待定
677731,QRC485070000986,01080209,,贵州省,贵阳市,南明区,26.573853999999997,106.71565600000001,贵州省贵阳市南明区瑞金南路131号,待定
677732,105000241210807,10007646,,贵州省,贵阳市,南明区,26.559714000000003,106.708703,贵州省贵阳市南明区玉溪路26,待定
677733,QRC480252061649,00083258,,贵州省,贵阳市,云岩区,26.586399,106.747234,贵州省贵阳市云岩区东山路,待定
677734,QRC485070000691,01080209,,贵州省,贵阳市,南明区,26.563823,106.673947,贵州省贵阳市南明区甲秀南路,待定
677735,QRC482200001105,01080209,,贵州省,贵阳市,南明区,26.570828000000002,106.71319799999999,贵州省贵阳市南明区遵义巷221号,待定
677736,105701000003410,00092561,,贵州省,贵阳市,南明区,26.579182,106.713632,贵州省贵阳市南明区文化路1,待定
677737,QRC482200002650,01080209,,贵州省,贵阳市,南明区,26.552925,106.698604,贵州省贵阳市南明区桃园路,待定
677738,QRC482200008071,01080209,,贵州省,贵阳市,南明区,26.549424,106.703324,贵州省贵阳市南明区沙冲南路,待定
677739,QRC480252075928,00077325,,贵州省,贵阳市,南明区,26.580151,106.71271499999999,贵州省贵阳市南明区都司路99,待定
677740,105701000004598,00097761,,贵州省,贵阳市,南明区,26.550146,106.685745,贵州省贵阳市南明区,待定
677741,102701059920018,01080209,,贵州省,贵阳市,南明区,26.579977000000003,106.712701,贵州省贵阳市南明区都司路99,待定
677742,102701080990241,01080209,,贵州省,贵阳市,南明区,26.580612,106.713027,贵州省贵阳市南明区瑞金南路32-3,待定
677743,QRC482200002161,01080209,,贵州省,贵阳市,南明区,26.562009000000003,106.675151,贵州省贵阳市南明区小车河路,待定
